Starting at 19:28:39 - time since epoch start 1409945319.107842300
term,numTerms,numDocs,timeEpoch,timeStart,totalTime,curlStatus,lookupTime,connectTime,pretransfterTime,starttransferTime
post,10,0,1409945319.429193100,,2.000,200,0.005,0.711,0.711,1.999
rahjMyUwwKrXnFMQGEe-0,10,1,1409945321.614010800,2.50617,0.032,200,0.008,0.009,0.009,0.031
rahjMyUwwKrXnFMQGEe-0,10,1,1409945321.699049500,2.59121,0.009,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10,1,1409945321.759885200,2.65204,0.008,200,0.004,0.004,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10,1,1409945321.819785900,2.71194,0.008,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10,1,1409945321.876727600,2.76889,0.008,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10,1,1409945321.936787800,2.82895,0.012,200,0.008,0.008,0.008,0.011
rahjMyUwwKrXnFMQGEe-0,10,1,1409945322.006724200,2.89888,0.008,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10,1,1409945322.069949400,2.96211,0.008,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10,1,1409945322.132283800,3.02444,0.008,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10,1,1409945322.197720000,3.08988,0.008,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10,1,1409945322.272628100,3.16479,0.009,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10,1,1409945322.335297700,3.22746,0.012,200,0.008,0.009,0.009,0.012
rahjMyUwwKrXnFMQGEe-0,10,1,1409945322.394981400,3.28714,0.010,200,0.005,0.005,0.005,0.009
rahjMyUwwKrXnFMQGEe-0,10,1,1409945322.462888800,3.35505,0.012,200,0.008,0.009,0.009,0.012
rahjMyUwwKrXnFMQGEe-0,10,1,1409945322.524276800,3.41643,0.014,200,0.005,0.005,0.005,0.014
rahjMyUwwKrXnFMQGEe-0,10,1,1409945322.590212500,3.48237,0.010,200,0.004,0.005,0.005,0.010
rahjMyUwwKrXnFMQGEe-0,10,1,1409945322.665587900,3.55775,0.012,200,0.008,0.008,0.008,0.012
rahjMyUwwKrXnFMQGEe-0,10,1,1409945322.731845700,3.624,0.008,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10,1,1409945322.792124900,3.68428,0.008,200,0.004,0.004,0.005,0.007
rahjMyUwwKrXnFMQGEe-0,10,1,1409945322.855606300,3.74776,0.012,200,0.004,0.005,0.005,0.011
rahjMyUwwKrXnFMQGEe-0,10,1,1409945322.915865000,3.80802,0.012,200,0.008,0.009,0.009,0.012
rahjMyUwwKrXnFMQGEe-0,10,1,1409945322.976022500,3.86818,0.008,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10,1,1409945323.040160300,3.93232,0.007,200,0.004,0.004,0.004,0.007
rahjMyUwwKrXnFMQGEe-0,10,1,1409945323.099702400,3.99186,0.007,200,0.004,0.004,0.005,0.007
rahjMyUwwKrXnFMQGEe-0,10,1,1409945323.158831100,4.05099,0.225,200,0.004,0.004,0.004,0.007
rahjMyUwwKrXnFMQGEe-0,10,1,1409945323.441957900,4.33412,0.013,200,0.005,0.005,0.005,0.013
rahjMyUwwKrXnFMQGEe-0,10,1,1409945323.514689900,4.40685,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10,1,1409945323.584964700,4.47712,0.009,200,0.005,0.005,0.006,0.009
rahjMyUwwKrXnFMQGEe-0,10,1,1409945323.649742200,4.5419,0.011,200,0.004,0.005,0.005,0.011
rahjMyUwwKrXnFMQGEe-0,10,1,1409945323.709808600,4.60197,0.011,200,0.008,0.009,0.009,0.011
rahjMyUwwKrXnFMQGEe-0,10,1,1409945323.769046100,4.6612,0.007,200,0.004,0.004,0.004,0.007
rahjMyUwwKrXnFMQGEe-0,10,1,1409945323.824576400,4.71673,0.007,200,0.004,0.004,0.004,0.007
rahjMyUwwKrXnFMQGEe-0,10,1,1409945323.877794600,4.76995,0.007,200,0.004,0.004,0.004,0.007
rahjMyUwwKrXnFMQGEe-0,10,1,1409945323.937019200,4.82918,0.011,200,0.008,0.008,0.008,0.011
rahjMyUwwKrXnFMQGEe-0,10,1,1409945323.995981400,4.88814,0.007,200,0.004,0.004,0.004,0.007
rahjMyUwwKrXnFMQGEe-0,10,1,1409945324.049882800,4.94204,0.007,200,0.004,0.004,0.004,0.007
rahjMyUwwKrXnFMQGEe-0,10,1,1409945324.104473600,4.99663,0.007,200,0.004,0.004,0.004,0.007
rahjMyUwwKrXnFMQGEe-0,10,1,1409945324.158652200,5.05081,0.007,200,0.004,0.005,0.005,0.007
rahjMyUwwKrXnFMQGEe-0,10,1,1409945324.217667100,5.10982,0.007,200,0.004,0.004,0.005,0.007
rahjMyUwwKrXnFMQGEe-0,10,1,1409945324.280646300,5.1728,0.007,200,0.004,0.005,0.005,0.007
rahjMyUwwKrXnFMQGEe-0,10,1,1409945324.337120000,5.22928,0.007,200,0.004,0.005,0.005,0.007
rahjMyUwwKrXnFMQGEe-0,10,1,1409945324.394140000,5.2863,0.008,200,0.005,0.005,0.005,0.007
rahjMyUwwKrXnFMQGEe-0,10,1,1409945324.461978800,5.35414,0.012,200,0.004,0.005,0.005,0.011
rahjMyUwwKrXnFMQGEe-0,10,1,1409945324.525630100,5.41779,0.007,200,0.004,0.005,0.005,0.007
rahjMyUwwKrXnFMQGEe-0,10,1,1409945324.654055800,5.54621,0.008,200,0.004,0.005,0.005,0.007
rahjMyUwwKrXnFMQGEe-0,10,1,1409945324.713622700,5.60578,0.008,200,0.004,0.005,0.005,0.007
rahjMyUwwKrXnFMQGEe-0,10,1,1409945324.778823300,5.67098,0.012,200,0.008,0.009,0.009,0.012
rahjMyUwwKrXnFMQGEe-0,10,1,1409945324.849414800,5.74157,0.008,200,0.004,0.005,0.005,0.007
rahjMyUwwKrXnFMQGEe-0,10,1,1409945324.911418200,5.80358,0.007,200,0.004,0.004,0.005,0.007
rahjMyUwwKrXnFMQGEe-0,10,1,1409945324.972580600,5.86474,0.007,200,0.004,0.004,0.004,0.007
rahjMyUwwKrXnFMQGEe-0,10,1,1409945325.050021000,5.94218,0.009,200,0.004,0.005,0.005,0.009
rahjMyUwwKrXnFMQGEe-0,10,1,1409945325.120358000,6.01252,0.008,200,0.004,0.005,0.005,0.007
rahjMyUwwKrXnFMQGEe-0,10,1,1409945325.185361300,6.07752,0.013,200,0.008,0.008,0.008,0.013
rahjMyUwwKrXnFMQGEe-0,10,1,1409945325.260797700,6.15296,0.009,200,0.006,0.006,0.006,0.009
rahjMyUwwKrXnFMQGEe-0,10,1,1409945325.333597300,6.22575,0.011,200,0.008,0.008,0.008,0.011
rahjMyUwwKrXnFMQGEe-0,10,1,1409945325.396565200,6.28872,0.011,200,0.008,0.008,0.008,0.010
rahjMyUwwKrXnFMQGEe-0,10,1,1409945325.455021800,6.34718,0.011,200,0.004,0.004,0.004,0.007
rahjMyUwwKrXnFMQGEe-0,10,1,1409945325.522652600,6.41481,0.007,200,0.004,0.005,0.005,0.007
rahjMyUwwKrXnFMQGEe-0,10,1,1409945325.582789100,6.47495,0.008,200,0.005,0.005,0.005,0.007
rahjMyUwwKrXnFMQGEe-0,10,1,1409945325.638909200,6.53107,0.007,200,0.004,0.004,0.004,0.007
rahjMyUwwKrXnFMQGEe-0,10,1,1409945325.698078600,6.59024,0.008,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10,1,1409945325.756061300,6.64822,0.007,200,0.004,0.005,0.005,0.007
rahjMyUwwKrXnFMQGEe-0,10,1,1409945325.821950400,6.71411,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10,1,1409945325.895027000,6.78718,0.012,200,0.008,0.009,0.009,0.011
rahjMyUwwKrXnFMQGEe-0,10,1,1409945325.980288500,6.87245,0.011,200,0.004,0.004,0.004,0.011
rahjMyUwwKrXnFMQGEe-0,10,1,1409945326.044491500,6.93665,0.007,200,0.004,0.004,0.004,0.007
rahjMyUwwKrXnFMQGEe-0,10,1,1409945326.100561500,6.99272,0.007,200,0.004,0.004,0.004,0.007
rahjMyUwwKrXnFMQGEe-0,10,1,1409945326.161215600,7.05337,0.010,200,0.006,0.007,0.007,0.009
rahjMyUwwKrXnFMQGEe-0,10,1,1409945326.241475600,7.13363,0.007,200,0.004,0.004,0.004,0.007
rahjMyUwwKrXnFMQGEe-0,10,1,1409945326.311871600,7.20403,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10,1,1409945326.382286000,7.27444,0.007,200,0.004,0.005,0.005,0.007
rahjMyUwwKrXnFMQGEe-0,10,1,1409945326.445940400,7.3381,0.010,200,0.006,0.006,0.006,0.009
rahjMyUwwKrXnFMQGEe-0,10,1,1409945326.526924200,7.41908,0.008,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10,1,1409945326.594072000,7.48623,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10,1,1409945326.657269000,7.54943,0.008,200,0.004,0.005,0.005,0.007
rahjMyUwwKrXnFMQGEe-0,10,1,1409945326.716289900,7.60845,0.007,200,0.004,0.005,0.005,0.007
rahjMyUwwKrXnFMQGEe-0,10,1,1409945326.775317400,7.66748,0.007,200,0.004,0.004,0.004,0.007
rahjMyUwwKrXnFMQGEe-0,10,1,1409945326.833897900,7.72606,0.007,200,0.004,0.005,0.005,0.007
rahjMyUwwKrXnFMQGEe-0,10,1,1409945326.894399500,7.78656,0.007,200,0.004,0.005,0.005,0.007
rahjMyUwwKrXnFMQGEe-0,10,1,1409945326.963588200,7.85575,0.012,200,0.008,0.009,0.009,0.011
rahjMyUwwKrXnFMQGEe-0,10,1,1409945327.025576200,7.91773,0.011,200,0.008,0.009,0.009,0.011
rahjMyUwwKrXnFMQGEe-0,10,1,1409945327.086418000,7.97858,0.011,200,0.008,0.008,0.009,0.011
rahjMyUwwKrXnFMQGEe-0,10,1,1409945327.149969500,8.04213,0.011,200,0.004,0.004,0.004,0.010
rahjMyUwwKrXnFMQGEe-0,10,1,1409945327.212925400,8.10508,0.007,200,0.004,0.005,0.005,0.007
rahjMyUwwKrXnFMQGEe-0,10,1,1409945327.273314700,8.16547,0.007,200,0.004,0.004,0.004,0.007
rahjMyUwwKrXnFMQGEe-0,10,1,1409945327.332061200,8.22422,0.007,200,0.004,0.005,0.005,0.007
rahjMyUwwKrXnFMQGEe-0,10,1,1409945327.402100600,8.29426,0.007,200,0.004,0.004,0.004,0.007
rahjMyUwwKrXnFMQGEe-0,10,1,1409945327.457689300,8.34985,0.007,200,0.004,0.004,0.004,0.006
rahjMyUwwKrXnFMQGEe-0,10,1,1409945327.511514800,8.40367,0.006,200,0.004,0.004,0.004,0.006
rahjMyUwwKrXnFMQGEe-0,10,1,1409945327.563506900,8.45566,0.010,200,0.008,0.008,0.008,0.010
rahjMyUwwKrXnFMQGEe-0,10,1,1409945327.621279700,8.51344,0.006,200,0.004,0.004,0.004,0.006
rahjMyUwwKrXnFMQGEe-0,10,1,1409945327.679900700,8.57206,0.006,200,0.004,0.004,0.004,0.006
rahjMyUwwKrXnFMQGEe-0,10,1,1409945327.736335800,8.62849,0.007,200,0.004,0.005,0.005,0.007
rahjMyUwwKrXnFMQGEe-0,10,1,1409945327.797007800,8.68917,0.007,200,0.004,0.004,0.004,0.007
rahjMyUwwKrXnFMQGEe-0,10,1,1409945327.853327400,8.74549,0.006,200,0.004,0.004,0.004,0.006
rahjMyUwwKrXnFMQGEe-0,10,1,1409945327.908360700,8.80052,0.007,200,0.004,0.004,0.004,0.006
rahjMyUwwKrXnFMQGEe-0,10,1,1409945327.972186400,8.86434,0.007,200,0.005,0.005,0.005,0.007
rahjMyUwwKrXnFMQGEe-0,10,1,1409945328.026585100,8.91874,0.006,200,0.004,0.004,0.004,0.006
rahjMyUwwKrXnFMQGEe-0,10,1,1409945328.089201500,8.98136,0.017,200,0.009,0.010,0.010,0.016
rahjMyUwwKrXnFMQGEe-0,10,1,1409945328.173367200,9.06553,0.008,200,0.005,0.005,0.006,0.008
post,10,1,1409945328.564547700,9.06553,0.767,200,0.004,0.005,0.005,0.010
fYfXJLrwKutXwiXkikS-7,10,10,1409945329.487304900,10.3795,0.014,200,0.009,0.010,0.010,0.013
XXZEHJJzbOToLEqsHUL-9,10,10,1409945329.561076100,10.4532,0.010,200,0.004,0.005,0.005,0.008
kZbQKxLzNdoMdaeYfQX-2,10,10,1409945329.625166300,10.5173,0.008,200,0.004,0.005,0.005,0.008
XXZEHJJzbOToLEqsHUL-9,10,10,1409945329.696180300,10.5883,0.007,200,0.004,0.004,0.005,0.007
XXZEHJJzbOToLEqsHUL-9,10,10,1409945329.756502000,10.6487,0.007,200,0.004,0.005,0.005,0.007
DAkSPlyxLZNvFbAvezS-5,10,10,1409945329.815528900,10.7077,0.007,200,0.004,0.004,0.004,0.007
kZbQKxLzNdoMdaeYfQX-2,10,10,1409945329.874965600,10.7671,0.007,200,0.004,0.004,0.005,0.007
AAtxAWtLtvlQbmKnRRp-4,10,10,1409945329.930478600,10.8226,0.011,200,0.004,0.004,0.004,0.010
ExpBCxVBdSWFHfrUgNQ-6,10,10,1409945329.988031600,10.8802,0.007,200,0.004,0.004,0.004,0.007
UXiisXEMJMrJErXISOi-8,10,10,1409945330.051187100,10.9433,0.007,200,0.004,0.004,0.004,0.006
fYfXJLrwKutXwiXkikS-7,10,10,1409945330.103474800,10.9956,0.007,200,0.004,0.004,0.004,0.007
ExpBCxVBdSWFHfrUgNQ-6,10,10,1409945330.158463400,11.0506,0.011,200,0.004,0.008,0.008,0.010
UXiisXEMJMrJErXISOi-8,10,10,1409945330.216281300,11.1084,0.011,200,0.008,0.008,0.008,0.011
XXZEHJJzbOToLEqsHUL-9,10,10,1409945330.273833400,11.166,0.007,200,0.004,0.004,0.004,0.007
vyZEzkZjqoqatSfYwlI-1,10,10,1409945330.333713400,11.2259,0.007,200,0.004,0.004,0.004,0.007
XXZEHJJzbOToLEqsHUL-9,10,10,1409945330.389454200,11.2816,0.007,200,0.004,0.004,0.004,0.007
LAqNRKguuGnereKohnZ-3,10,10,1409945330.449170100,11.3413,0.007,200,0.004,0.004,0.004,0.007
fYfXJLrwKutXwiXkikS-7,10,10,1409945330.513639900,11.4058,0.007,200,0.004,0.004,0.004,0.007
DAkSPlyxLZNvFbAvezS-5,10,10,1409945330.570370500,11.4625,0.008,200,0.005,0.005,0.005,0.008
kZbQKxLzNdoMdaeYfQX-2,10,10,1409945330.633987300,11.5261,0.008,200,0.005,0.005,0.005,0.007
DAkSPlyxLZNvFbAvezS-5,10,10,1409945330.695816100,11.588,0.008,200,0.005,0.005,0.005,0.008
DAkSPlyxLZNvFbAvezS-5,10,10,1409945330.759408000,11.6516,0.007,200,0.004,0.004,0.004,0.007
vyZEzkZjqoqatSfYwlI-1,10,10,1409945330.818555600,11.7107,0.023,200,0.005,0.020,0.020,0.022
vyZEzkZjqoqatSfYwlI-1,10,10,1409945330.902757800,11.7949,0.008,200,0.004,0.005,0.005,0.007
fYfXJLrwKutXwiXkikS-7,10,10,1409945330.964447000,11.8566,0.008,200,0.005,0.005,0.005,0.008
fYfXJLrwKutXwiXkikS-7,10,10,1409945331.039055100,11.9312,0.012,200,0.008,0.008,0.009,0.011
ExpBCxVBdSWFHfrUgNQ-6,10,10,1409945331.099291600,11.9914,0.007,200,0.004,0.004,0.004,0.007
ExpBCxVBdSWFHfrUgNQ-6,10,10,1409945331.154664100,12.0468,0.008,200,0.004,0.005,0.005,0.007
vyZEzkZjqoqatSfYwlI-1,10,10,1409945331.223197400,12.1154,0.008,200,0.004,0.005,0.005,0.008
vyZEzkZjqoqatSfYwlI-1,10,10,1409945331.292624900,12.1848,0.008,200,0.004,0.005,0.005,0.007
XXZEHJJzbOToLEqsHUL-9,10,10,1409945331.355039300,12.2472,0.007,200,0.004,0.005,0.005,0.007
DAkSPlyxLZNvFbAvezS-5,10,10,1409945331.428670900,12.3208,0.013,200,0.009,0.010,0.010,0.013
XXZEHJJzbOToLEqsHUL-9,10,10,1409945331.511357300,12.4035,0.008,200,0.005,0.005,0.005,0.008
DAkSPlyxLZNvFbAvezS-5,10,10,1409945331.586737800,12.4789,0.007,200,0.004,0.004,0.004,0.007
kZbQKxLzNdoMdaeYfQX-2,10,10,1409945331.647243300,12.5394,0.012,200,0.009,0.009,0.009,0.012
XXZEHJJzbOToLEqsHUL-9,10,10,1409945331.715954500,12.6081,0.015,200,0.004,0.012,0.012,0.015
vyZEzkZjqoqatSfYwlI-1,10,10,1409945331.794666500,12.6868,0.008,200,0.004,0.005,0.005,0.007
UXiisXEMJMrJErXISOi-8,10,10,1409945331.868329700,12.7605,0.007,200,0.004,0.004,0.004,0.007
XXZEHJJzbOToLEqsHUL-9,10,10,1409945331.923450100,12.8156,0.007,200,0.004,0.005,0.005,0.007
XXZEHJJzbOToLEqsHUL-9,10,10,1409945331.983340800,12.8755,0.008,200,0.004,0.005,0.005,0.007
kZbQKxLzNdoMdaeYfQX-2,10,10,1409945332.043931000,12.9361,0.006,200,0.004,0.004,0.004,0.006
